Tag_name,Price in INR,Stars,Rating & Reviews Count
"Realme Narzo 20 (Glory Silver, 64 GB)","₹10,499",4.3,"1,77,805 Ratings & 14,444 Reviews"
"POCO C3 (Lime Green, 32 GB)","₹7,999",4.3,"68,379 Ratings & 5,364 Reviews"
"Redmi 9i (Sea Blue, 64 GB)","₹8,299",4.3,"1,09,783 Ratings & 6,401 Reviews"
"POCO M2 (Slate Blue, 64 GB)","₹10,999",4.3,"1,76,584 Ratings & 14,839 Reviews"
"POCO C3 (Matte Black, 32 GB)","₹7,999",4.3,"68,379 Ratings & 5,364 Reviews"
"Redmi 9i (Nature Green, 64 GB)","₹8,299",4.3,"1,09,783 Ratings & 6,401 Reviews"
"POCO C3 (Arctic Blue, 32 GB)","₹7,999",4.3,"68,379 Ratings & 5,364 Reviews"
"POCO C3 (Lime Green, 64 GB)","₹8,999",4.3,"38,375 Ratings & 2,314 Reviews"
"POCO M2 (Pitch Black, 64 GB)","₹10,999",4.3,"1,76,584 Ratings & 14,839 Reviews"
"Redmi 9i (Midnight Black, 64 GB)","₹8,299",4.3,"1,09,783 Ratings & 6,401 Reviews"
"POCO C3 (Arctic Blue, 64 GB)","₹8,999",4.3,"38,375 Ratings & 2,314 Reviews"
"Infinix Smart 4 Plus (Violet, 32 GB)","₹7,999",4.4,"1,00,091 Ratings & 8,927 Reviews"
"Infinix Smart 4 Plus (Ocean Wave, 32 GB)","₹7,999",4.4,"1,00,091 Ratings & 8,927 Reviews"
"Realme Narzo 10 (That White, 128 GB)","₹11,999",4.5,"1,62,229 Ratings & 12,156 Reviews"
"Infinix Hot 10 (Ocean Wave, 64 GB)","₹9,499",4.4,"17,991 Ratings & 1,633 Reviews"
"Infinix Hot 10 (Amber Red, 64 GB)","₹9,499",4.4,"17,991 Ratings & 1,633 Reviews"
"Infinix Hot 10 (Obsidian Black, 64 GB)","₹9,499",4.4,"17,991 Ratings & 1,633 Reviews"
"POCO C3 (Matte Black, 64 GB)","₹8,999",4.3,"38,375 Ratings & 2,314 Reviews"
"Infinix Hot 10 (Moonlight Jade, 64 GB)","₹9,499",4.4,"17,991 Ratings & 1,633 Reviews"
"Realme C12 (Power Silver, 32 GB)","₹8,999",4.4,"1,78,496 Ratings & 11,251 Reviews"
"Realme C12 (Power Blue, 32 GB)","₹8,999",4.4,"1,78,496 Ratings & 11,251 Reviews"
"Realme Narzo 10 (That Blue, 128 GB)","₹11,999",4.5,"1,62,229 Ratings & 12,156 Reviews"
"Infinix Hot 10 (Ocean Wave, 128 GB)","₹10,999",4.4,"31,874 Ratings & 3,707 Reviews"
"Vivo V20 Pro (Sunset Melody, 128 GB)","₹29,990",4.4,90 Ratings & 15 Reviews
"Vivo V20 Pro (Midnight Jazz, 128 GB)","₹29,990",4.4,90 Ratings & 15 Reviews
"POCO X3 (Cobalt Blue, 64 GB)","₹16,999",4.3,"46,820 Ratings & 5,557 Reviews"
"Redmi 8A Dual (Midnight Grey, 32 GB)","₹6,999",4.3,"24,426 Ratings & 1,893 Reviews"
"Redmi 8A Dual (Sea Blue, 32 GB)","₹6,999",4.3,"24,426 Ratings & 1,893 Reviews"
"Infinix Hot 10 (Amber Red, 128 GB)","₹10,999",4.4,"31,874 Ratings & 3,707 Reviews"
"POCO X3 (Cobalt Blue, 128 GB)","₹19,999",4.3,"8,919 Ratings & 931 Reviews"
"Infinix Smart 4 (Quetzal Cyan, 32 GB)","₹6,999",4.4,"5,284 Ratings & 365 Reviews"
"POCO M2 (Brick Red, 64 GB)","₹10,999",4.3,"1,76,584 Ratings & 14,839 Reviews"
"POCO M2 (Slate Blue, 128 GB)","₹12,499",4.3,"1,76,584 Ratings & 14,839 Reviews"
